"Database name","Alternative name","Integbio Database Catalog ID",DOI,Creator,"Database classification","Database classification (Free style)",Organism,"Organism (Free style)","Database description","Features and manner of utilization of database","Background and funding","Background and funding (Free style)",Reference(s),"Database maintenance site","URL of the original website","Operation start date","Last update date","URL of the portal site","Whole data download","Referenced database","Entry list","Query search","Web services","URL of Web services","Need for user registration"
fRNAdb,"Functional RNA Database","nbdc00452
",10.18908/lsdba.nbdc00452-000,"""Toutai Mituyama"",""National Institute of Advanced Industrial Science and Technology (AIST)"",200901021897425969,read0120900,0000-0002-1110-6375,200901100489142727,0
""Kiyoshi Asai"",""The University of Tokyo, Department of Frontier Sciences"",200901096723619667,read0081575,,200901100577693580,0
","""RNA sequence databases""
",,,"32,978 species","fRNAdb is a novel database service that hosts a large collection of non-coding transcripts including annotated/non-annotated sequences from the H-inv database,
NONCODE and RNAdb. A set of computational analyses have been performed on the included sequences. These analyses include RNA secondary structure motif discovery, EST support evaluation, cis-regulatory element search, protein homology search, etc.","fRNAdb provides an efficient interface to help users filter out particular transcripts under their own criteria to sort out functional RNA candidates.","""NEDO """"Functional RNA Project"""" (2006-2010)"",,17
",,"""fRNAdb: a platform for mining/annotating functional RNA candidates from non-coding RNA sequences"",""Kin T, Yamada K, Terai G, Okida H, Yoshinari Y, Ono Y, Kojima A, Kimura Y, Komori T, Asai K."",""Nucleic Acids Research/2007/D145-8"",17099231,201302272106442465
""The Functional RNA Database 3.0: databases to support mining and annotation of functional RNAs."",""Mituyama T, Yamada K, Hattori E, Okida H, Ono Y, Terai G, Yoshizawa A, Komori T, Asai K."",""Nucleic Acids Research/2009/D89-92"",18948287,201302250310939553
","National Institute of Industrial Science and Technology (AIST), Tokyo Waterfront
*The original website was terminated.","http://www.ncrna.org/
",2006-12,2011,,,,,,,,
"Gclust Server",,"nbdc00464
",10.18908/lsdba.nbdc00464-000,"""Naoki Sato"",""Laboratory of Plant Functional Genomics, Department of Life Sciences, Graduate School of Arts and Sciences, The University of Tokyo"",,,,,1
","""Protein sequence databases""
",,,"Taxonomy Name:11 plants, 9 Other bikonts, 25 cyanobacteria, 15 photosynthetic bacteria, 31 non-photosynthetic bacteria, 8 Opistokonts (animals and fungi), total 95 species","Database of sequence clusters obtained as a result of all-against-all BLAST search of proteins in 95 organism species.","Gclust is characterized by the capacity to perform classification of homologous proteins with automatically setting the threshold of similarity based on the results of the BLAST search of all proteins of all organism species to be compared. Because a homologous culster can be generated even for proteins with unknown function, Gclust may also be useful to find proteins which play important roles for a particular organisms or taxa of interest through such a generated homologous cluster specific to the organisms or taxa. (phylogenetic profiling).","""KAKENHI (Grant-in-Aid for Scientific Research) on Priority Areas """"Comparative Genomics"""" from the Ministry of Education, Culture, Sports, Science and Technology of Japan"",201410076767231384,
""Research for the Future Program of the Japanese Society for Promotion of Science"",,31
","Sequence comparison of homologous proteins across many organisms is the very basic of comparative genomics, but pairwise intergenomic comparison has been conventional. Degrees of sequence conservation depend on protein groups;some protein groups are highly conserved, but some orthologs are poorly conserved. Considering these points, we developed a technique which automatically generates ortholog clusters, and applied the technique to functional analysis of protein groups specific to photosynthetic organisms.","""Gclust: trans-kingdom classification of proteins using automatic individual threshold setting."",""Naoki Sato"",""Bioinformatics 2009 Mar 1;25(5):599-605."",19158159,201402237166411159
","Laboratory of Plant Functional Genomics, Department of Life Sciences, Graduate School of Arts and Sciences, The University of Tokyo","http://gclust.c.u-tokyo.ac.jp/
",2006-06,2008-04,,http://gclust.c.u-tokyo.ac.jp/Gclust_Download.html,"NCBI , JGI(http://www.jgi.doe.gov/) , CGP(http://merolae.biol.s.u-tokyo.ac.jp/)",,1,,,
"Gene Name Thesaurus",,,10.18908/lsdba.nbdc00966-000,"""Kousaku Okubo"",""The Database Center for Life Science"",,,,,1
",,"Dictionary
","""Homo sapiens"",9606
""Mus musculus"",10090
""Rattus norvegicus"",10116
""Danio rerio"",7955
""Drosophila melanogaster"",7227
""Caenorhabditis elegans"",6239
""Saccharomyces cerevisiae"",4932
""Schizosaccharomyces pombe"",4896
""Bacillus subtilis"",1423
",,"Gene names and gene family names were collected for 9 different organisms (including human, mouse, rat, zebrafish, fruit fly, nematode, budding yeast, fission yeast, Bacillus subtilis), and associated with parallel relationship (synonym) and hierarchical relationship (family name). Acronym notation and IDs of typical gene/genome databases are also treated as names.","This is not a database. But you can use it as a thesaurus. It might help you analyze and search literature with natural language processing.","""MEXT Integrated Database Project"",201410043352900536,25
",,,"The Database Center for Life Science","http://lifesciencedb.jp/MEXT_H18/ii-7d71540862808853958b767a30fb63d04f9b/ii-1-8f9e66f830b730bd30fc30e930b9/907a4f1d5b50540d79f030b730bd30fc30e930b9
",2007-03,2007-03,http://lifesciencedb.jp/lsdb.cgi?lng=en,http://lifesciencedb.jp/MEXT_H18/ii-7d71540862808853958b767a30fb63d04f9b/ii-1-8f9e66f830b730bd30fc30e930b9/907a4f1d5b50540d79f030b730bd30fc30e930b9,,,1,,,
"GENIUS II",,"NBDC00471
",10.18908/lsdba.nbdc00471-000,"""Suwa Makiko"",""Aoyama Gakuin University"",201201048367379932,7000002502,,200901100566271314,0
","""Protein sequence databases""
",,"Bacteria,2
Archaea,2157
Eukaryota,2759
",,"GENIUS II is an automated database system in which protein coding regions in complete genomes are assigned to known three-dimensional structures.",,,,"""GENIUS II: a high-throughput database system for linking ORFs in complete genomes to known protein three-dimensional structures"",""Yabuki, Y., Mukai, Y., Swindells, M. B. and Suwa M."",""Bioinformatics (2004), 20 :596-598."",14751990,
","National Institute of Industrial Science and Technology (AIST), Tokyo Waterfront
*The original website was terminated.","http://genius.cbrc.jp
",,,,,"PDB, Refseq, nr-aa, Prosite, CATH",1,1,,,
GenLibi,"Gene Linker to bibliography",,10.18908/lsdba.nbdc01093-000,"""Japan Science and Technology Agency"",,,,,,0
","""Human Genes and Diseases""
",,"""Homo sapiens"",9606
""Mus musculus"",10090
""Rattus norvegicus"",10116
",,"GenLibi (Gene Linker to bibliography) provides information on genes and their related diseases and phenotypes that were obtained from the JST bibliographic information JDream II.","Users can get bibliographic information by searching with the name of the diseases and the phenotypes.
The original site automatically integrated information from EntrezGene, RefSeq, HGNC, KEGG PATHWAY, Reactome, KEGG SSDB and JDream II, and provided together information on genes, proteins, polymorphisms, pathways, phenotypes and ortholog/protein sequences related to human, mouse and rat genes.","""JST (Japan Science and Technology Agency) - BIRD (Institute for Bioinformatics Research and Development)"",200904072106278644,
",,,"Japan Science and Technology Agency","http://gene.biosciencedbc.jp/
",2007-03-01,2009-11-30,http://biosciencedbc.jp/,,"EntrezGene, HGNC, MGI, Genes, RefSeq, GenBank, NCBI Map_Viewer, GO (Gene Ontology), Enzyme EC number, UniProt, JSNP, dbSNP, KEGG PATHWAY, Reactome, OMIM, JDream II, PubMed, SGD (yeast), HuGE Navigator, J-GLOBAL
Note: the archived version provides links only to NCBI Gene, NCBI MeSH and J-GLOBAL.",1,1,,,
GETDB,"Gal4 Enhancer Trap Insertion Database","nbdc00236
",10.18908/lsdba.nbdc00236-000,"""Shigeo Hayashi"",""RIKEN Center for Developmental Biology"",,,,,1
",,"Expression
""Invertebrate genome database""
","""Drosophila melanogaster"",7227
",,"About 4,600 insertion lines of enhancer trap lines based on the Gal4-UAS method were generated in Drosophila, and all of these insertion lines were tested for enhancer activity in embryo and larva by NP consortium. Moreover, the insertion position was mapped in the genome sequence form, and the correspondence relationship with gene was identified for 2,157 independent sites. This database is available to the public as the database that has compiled the insertion position and enhancer activity of Gal4 enhancer trap lines.","The lines shown in the database are maintained and distributed by the National Institute of Genetics and Kyoto Institute of Technology.","""KAKENHI (Grant-in-Aid for Scientific Research) on Priority Areas """"Systems Genomics"""" from the Ministry of Education, Culture, Sports, Science and Technology of Japan (FY2000-2004)"",201410076767231384,
""Research for the Future Program of the Japanese Society for Promotion of Science"",,31
",,"""GETDB, a database compiling expression patterns and molecular locations of a collection of Gal4 enhancer traps."",""Hayashi S, Ito K, Sado Y, Taniguchi M, Akimoto A, Takeuchi H, Aigaki T, Matsuzaki F, Nakagoshi H, Tanimura T, Ueda R, Uemura T, Yoshihara M, Goto S."",""Genesis. 2002 Sep-Oct;34(1-2):58-61."",12324948,201302120332062298
","Drosophila Genetic Resource Center","http://kyotofly.kit.jp/stocks/GETDB/getdb.html
",2003-08-01,2009-09-04,http://fruitfly.jp/,,FlyBase,1,1,,,
"GGGenome dataset",,"nbdc01424
",,"""Yuki Naito"",""Database Center for Life Science"",201201071327312942,meso_cacase,0000-0002-1182-6786,201550000300230035,1
","""Nucleotide Sequence Databases""
",,,,"GGGenome is a tool for fast and sensitive search for genomic and transcript sequence. You can use it in Web (https://GGGenome.dbcls.jp/) and as a distributed Docker container. If you use the Docker container, you have to set this dataset in it. Contact the above ""Contact address"" about the distribution of GGGenome container.
About the reference sequence data (fasta format) in this dataset, you can use it for another purpose.","GGGenome exhaustively searches short sequences allowing mismatches and gaps.","""MEXT Integrated Database Project"",,0
""Life Science Database Integration Project"",201304069785935332,0
""Development of fundamental technologies related to integration of databases"",201304036502222259,0
",,,"Database Center for Life Science","https://GGGenome.dbcls.jp/
",2012-07-04,2019-07-31,https://dbcls.rois.ac.jp/,,,,1,1,https://GGGenome.dbcls.jp/,
GRIPDB,"GPCRs Interaction Partners Database","nbdc01665
",10.18908/lsdba.nbdc01665-000,"""Wataru Nemoto"",""Computational Biology Research Center (CBRC)"",201201023776690752,7000000909,0000-0001-6362-007X,201201100225002264,1
""Kazuhiko Fukui"",""Computational Biology Research Center (CBRC)"",200901017295507576,read0120683,,200901100393125406,0
""Hiroyuki Toh"",""Computational Biology Research Center (CBRC)"",200901083991714708,read0113136,,200901100491250014,0
","""Protein sequence databases - Databases of individual protein families""
""Structure Databases - Protein structure""
""Protein sequence databases - Protein sequence motifs and active sites""
",,"""Homo Sapiens"",9606
",,"GRIPDB provides information about GPCR oligomerization. The entries in the database are divided into two sections: (I) Experiment Information section and (II) Prediction Information section. The Experiment Information section contains (I-i) experimentally indentified GPCR oligomers and their annotations, and (I-ii) experimentally suggested interfaces for the oligomerization.The entries for the Prediction Information section
provide the interface residues or regions predicted
by computational methods. The details of the entries in
both sections are described below.","The information in the GRIPDB, especially that about the interfaces, is useful to investigate the molecular mechanisms of signal transduction via GPCR oligomerization.","""The Japan-India Strategic International Cooperative Program of the Japan Science and Technology Agency (JST)."",201204018484845477,
",,"""GRIPDB - G protein coupled Receptor Interaction Partners DataBase."",""Nemoto W, Fukui K, Toh H."",""J Recept Signal Transduct Res. 2011 Jun;31(3):199-205."",21410407,201202267750916817
","National Institute of Industrial Science and Technology (AIST), Tokyo Waterfront
*The original website was terminated.","http://grip.cbrc.jp/GDB/index.html
",2009-01-30,,,,"PDB, RefSeq, PubMed",1,1,,,1
INOH,"Integrating Network Objects with Hierarchies","nbdc00107
",10.18908/lsdba.nbdc00107-000.V003,"""Toshihisa Takagi"",""School of Science, The University of Tokyo"",201101052485930732,takagi,,200901100503133582,1
""Ken-ichiro Fukuda"",""Information and Communication Infrastructure Division, National Institute of Advanced Industrial Science and Technology"",200901050332753032,read0205812,,,0
""Satoko Yamamoto"",""Institute for Bioinformatics Research and Development, Japan Science and Technology Agency"",,,,,0
""Noriko Sakai"",""Institute for Bioinformatics Research and Development, Japan Science and Technology Agency"",,,,,0
""Hiromi Nakamura"",""Information and Mathematical Science and Bioinformatics Co., Ltd."",,,,,0
","""Metabolic and Signaling Pathways - Metabolic pathways""
""Metabolic and Signaling Pathways - Protein-protein interactions""
""Metabolic and Signaling Pathways - Signalling pathways""
",,,"Model species (Homo sapiens, Mus musculus, Rattus norvegicus) etc.","INOH database is a highly structured, manually curated database of signal transduction pathways. The database focuses on curating and encoding textual knowledge in scientific articles into a machine-processable form.","INOH database provides signal transduction pathway data which is well-annotated by the INOH ontology terms.
INOH curators who have a biological background created pathways and annotated every pathway component by a set of uniquely developed ontologies.
The INOH Client tool, which is a pathway navigation/editor tool, is freely downloadable.
INOH pathway diagrams are freely available in INOH XML and BioPAX formats.","""Institute for Bioinformatics Research and Development, Japan Science and Technology Agency"",200904046071000167,24
",,"""INOH: ontology-based highly structured database of signal transduction pathways."",""Yamamoto S, Sakai N, Nakamura H, Fukagawa H, Fukuda K, Takagi T."",""Database (Oxford). 2011 Nov 26;2011:bar052. Print 2011."",22120663,
""INOH pathway database: Curation, Annotation, Integration."",""Fukuda K."",""InterOntology08, 1(1), pp.47-50 (2008)."",,
""Graphical Syntax and Query for Pathway Database"",""Fukuda, K., Yamamoto, S., Sakai, N., Nakanishi, Y., Nakamura, H., Takagi, T."",""The 10th World Multi-Conference on Systemics, Cybernetics and Infrmatics, pp7-10 (2006)."",,201002224083332342
""Event ontology: a pathway-centric ontology for biological processes."",""Kushida T, Takagi T, Fukuda K."",""Pac Symp Biocomput. 2006:152-63."",17094236,
""Research on biological pathways peculiar to woody perennial Plants using a pathway database : P-INOH."",""Kushida, T., Yamamoto, S., Yamagata, Y., Asanuma, T., Hattori, E., Takagi, T. and Fukuda, K."",""Proceedings of International Workshop on Knowledge Discovery and Data Management in Biomedical Science. 2005.5, pp.56-67"",,
""Higher Order Knowledge Proceeding : Pathway Database and Ontologies."",""Fukuda, K."",""Genomics & Informatics, vol.3, No.2, ISSN 1598-866X, 2005.6, pp.47-51"",,
""The Molecule Role Ontology: An Ontology for Annotation of Signal Transduction Pathway Molecules in the Scientific Literature."",""Yamamoto S, Asanuma T, Takagi T, Fukuda K."",""Comp Funct Genomics. 2004;5(6-7):528-36."",18629146,201002290449983344
""A Pathway Editor for Literature-based Knowledge Curation."",""Ken-ichiro Fukuda, Toshihisa Takagi."",""APBC 2004, pp.339-344."",,
""Pathway Database: Higher Order Knowledge in Biology."",""Ken-ichiro Fukuda, Yuki Yamagata, Toshihisa Takagi."",""nformation Processing Society of Japan (IPSJ), Transactions on Databases, vol.45 No.SIG7(TOD 22) June 2004, pp.77-84"",,200902201795333018
""FREX: a query interface for biological processes with hierarchical and recursive structures."",""Fukuda K, Yamagata Y, Takagi T."",""In Silico Biol. 2004;4(1):63-79. Epub 2004 Feb 22."",15089754,
""Knowledge representation of signal transduction pathways."",""Fukuda K, Takagi T."",""Bioinformatics. 2001 Sep;17(9):829-37."",11590099,200902170364409120
","The Institute of Medical Science, The University of Tokyo
*The original website was terminated.","http://inoh.hgc.jp/
",2006-02-01,2011-03-29,,http://inoh.hgc.jp/download.html,,1,1,1,http://inoh.hgc.jp/inoh_api_manual.html,
"jPOST repository metadata",,"nbdc01594
",10.18908/lsdba.nbdc01594-000,"""Yasushi Ishihama"",""Graduate School of Pharmaceutical Sciences, Kyoto University"",200901055328608810,read0121778,0000-0001-7714-203X,200901100350399979,1
""Susumu Goto"",""Database Center for Life Science, Research Organization of Information and Systems"",200901003217633483,read0183910,0000-0003-2989-8486,200901100337621077,0
""Norie Araki"",""Graduate School of Medical Scienses, Kumamoto University"",200901000315656140,read0043428,,200901100545851051,0
""Masaki Matsumoto"",""Medical Institute of Bioregulation, Kyushu University"",200901077148297194,read0067478,,201550000300102150,0
""Shujiro Okuda"",""Niigata University Graduate School of Medical and Dental Sciences"",200901054853171620,read0145560,0000-0002-7704-8104,201550000060651313,0
""Shin Kawano"",""Database Center for Life Science, Research Organization of Information and Systems"",200901037038220690,read0065295,0000-0002-7969-2972,,0
","""Proteomics Resources""
",,,,"jPOST(Japan ProteOme STandard Repository/Database) is the repository where users reposit mass spectrometry (MS) raw data, peak lists and analyzed data. jPOST joins the ProtemoeXchange (PX) Consortium, so it can issue PX ID users need in submitting their articles. This archive consisits the metadata of jPOST repository.",,"""Life Science Database Integration Project """"Development of an Integrated Database for Proteomes""""(FY2015-FY2017)"",201304096002265299,
",,"""jPOSTrepo: an international standard data repository for proteomes"",""Shujiro Okuda, Yu Watanabe, Yuki Moriya, Shin Kawano, Tadashi Yamamoto, Masaki Matsumoto, Tomoyo Takami, Daiki Kobayashi, Norie Araki, Akiyasu C. Yoshizawa, Tsuyoshi Tabata, Naoyuki Sugiyama, Susumu Goto, Yasushi Ishihama"",""Nucleic Acids Research, Volume 45, Issue D1, 4 January 2017, Pages D1107?D1111"",27899654,
","jPOST team","https://repository.jpostdb.org/
",2016-05-02,2018-01-31,https://jpost.org/,,,1,1,,,
JSNP,"Japanese Single Nucleotide Polymorphisms","nbdc00114
",10.18908/lsdba.nbdc00114-000,"""Human Genome Center, the Institute of Medical Science, the University of Tokyo"",,,,,,0
""Japan Science and Technology Agency"",,,,,,0
","""Human Genes and Diseases - General polymorphism databases""
",,"""Homo sapiens"",9606
",,"A database of about 197,000 polymorphisms in Japanese population, with annotations such as genes, positions, amino acid substitutions","Allele frequencies in Japanese populatoin are also available.","""The Japanese Millennium Project """"Standard SNPs Analysis Project"""" of the New Energy and Industrial Technology Development Organization (NEDO)"",,30
",,"""JSNP: a database of common gene variations in the Japanese population"",""Hirakawa M, Tanaka T, Hashimoto Y, Kuroda M, Takagi T, Nakamura Y."",""Nucleic Acids Research, 30:158-162, 2002"",11752280,200902164386301250
""Gene-based SNP discovery as part of the Japanese Millennium Genome Project : identification of 190,562 genetic variations in the human genome."",""Haga H, Yamada R, Ohnishi Y, Nakamura Y, Tanaka T."",""Journal of Human Genetics, 2002;47(11):605-610"",12436197,200902159217500541
","Institute of Medical Science, University of Tokyo * Original website was terminated.","http://snp.ims.u-tokyo.ac.jp/index.html
http://biosciencedbc.jp/moved-jsnp-biosciencedbc-jp
",2000-07-07,2014-05-08,,http://snp.ims.u-tokyo.ac.jp/data_download.html,dbSNP,1,1,,,
KAIKOcDNA,,"nbdc00951
",10.18908/lsdba.nbdc00951-000,"""Yoshitaka Suetsugu"",""National Institute of Agrobiological Sciences"",,,,,0
","""Nucleotide Sequence Databases""
",,"""Bombyx mori"",7091
",,"KAIKOcDNA is a database of cDNA (EST) information accumulated by the Silkworm Genome Research Program (SGP).","KAIKOcDNA database provides the sets of silkworm partial cDNA sequences with a simple annotation, which submitted to public database such as DDBJ. It allows users to search cDNAs by various methods, e.g. accession number, clone name, BLAST search score, GO (Gene Ontology) term and keywords. Clustering information and annotation of the EST can be referenced from the search results. The characteristic information of the cDNA libraries those are species of silkworm, organ / tissue, and developmental stage, etc.,  is described in ""cDNA libraries"".","""Grants-in-Aid for Scientific Research &lt;KAKENHI&gt; (No.506015, 1999; No.128102, 2000)"",,
""Management Expenses Grants"",,
""Ministry of Agriculture, Forestry and Fisheries of Japan (MAFF) commissioned research project """"Integrated research project for plant, insect and animal using genome technology (basic insect genome research for creating and enhancing market demand)"""""",,
",,"""Large scale full-length cDNA sequencing reveals a unique genomic landscape in a lepidopteran model insect, Bombyx mori"",""Suetsugu Y, Futahashi R, Kanamori H, Kadono-Okuda K, Sasanuma S, Narukawa J,Ajimura M, Jouraku A, Namiki N, Shimomura M, Sezutsu H, Osanai-Futahashi M,　Suzuki MG, Daimon T, Shinoda T, Taniai K, Asaoka K, Niwa R, Kawaoka S, Katsuma S,Tamura T, Noda H, Kasahara M, Sugano S, Suzuki Y, Fujiwara H, Kataoka H, Arunkumar KP, Tomar A, Nagaraju J, Goldsmith MR, Feng Q, Xia Q, Yamamoto K, Shimada T, Mita K."",""G3 (Bethesda) / 2013, Sep / vol.9"",23821615,
","National Institute of Agrobiological Sciences","http://sgp.dna.affrc.go.jp/EST/
",2004-04-12,2011-11-11,http://sgp.dna.affrc.go.jp/,,"KAIKObase (http://sgp.dna.affrc.go.jp/KAIKObase/)
InterPro (http://www.ebi.ac.uk/interpro/)
SPRINT (http://www.bioinf.man.ac.uk/dbbrowser/sprint/)
Pfam (http://pfam.xfam.org/)
PIR (http://pir.georgetown.edu/pirwww/index.shtml)
ProDom (http://prodom.prabi.fr/prodom/current/html/home.php)
SMART (http://smart.embl-heidelberg.de/)
SUPERFAMILY (http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi)
CATH/Gene3D (http://www.cathdb.info/)
PROSITE (http://prosite.expasy.org/)
HAMAP (http://hamap.expasy.org/)
PANTHER (http://www.pantherdb.org/)
NCBI (http://www.ncbi.nlm.nih.gov/)
WormBase (http://www.wormbase.org/)
VectorBase (https://www.vectorbase.org/)",1,1,,,
"KEGG MEDICUS",,"nbdc01185
",10.18908/lsdba.nbdc01185-000.V002,"""Minoru Kanehisa"",""Institute for Chemical Research, Kyoto University"",200901024319681897,read0082013,,,1
","""Human Genes and Diseases""
""Other Molecular Biology Databases - Drugs and drug design""
",,"""Homo sapiens"",9606
",,"KEGG MEDICUS is an integrated information resource of diseases, drugs, and health-related substances, aiming to bring the genomic revolution to society.","Drug labels (package inserts) of all marketed drugs in Japan and the USA are integrated with the KEGG DRUG and KEGG DISEASE databases in KEGG MEDICUS. The resource can assist researchers to translate research results into practical applications and can also help medical professionals and people in society to better understand the scientific basis of diseases and drugs. (This archive version does not contain package inserts.)","""Life Science Database Integration Project """"Genome-based integrated resource for diseases, drugs, and environmental substances""""(FY2011-FY2013)"",201304032293847208,
""Life Science Database Integration Project """"Integrated database linking genomes to phenotypes, diseases and drugs""""(FY2014-FY2016)"",,
""Life Science Database Integration Project """"Network database integrating genomes, diseases and drugs""""(FY2017-FY2021)"",,
",,"""KEGG for representation and analysis of molecular networks involving diseases and drugs."",""Kanehisa, M., Goto, S., Furumichi, M., Tanabe, M., Hirakawa, M."",""Nucleic Acids Res./ 2010/ 38, D355-D360"",19880382,
","Kanehisa Laboratory, Institute for Chemical Research, Kyoto University","http://www.kegg.jp/kegg/medicus/
",2010-10-01,2017-12-12,http://www.kanehisa.jp/ja/,ftp://ftp.genome.jp/pub/kegg/medicus/,,1,1,1,http://www.kegg.jp/kegg/rest/,
KOME,"Knowledge-based Oryza Molecular biological Encyclopedia","nbdc00120
",10.18908/lsdba.nbdc00120-000,"""Shoshi Kikuchi"",""National Institute of Agrobiological Sciences"",,,,,0
","""Plant databases - Rice""
",,"""Oryza sativa"",4530
",,"Information about approximately 38,000 full-length cDNA clones that were completely sequenced in the Rice full-length cDNA project is shown in the database. The full-length cDNA clones were collected from various tissues treated under various stress conditions. The database contains not only information about complete nucleotide sequences and encoded amino acid sequences, but also results of homology searches against public databases, mapping information, information about patterns of alternative splicing, protein domains and transmembrane structures, and information about cellular localizations and gene functions annotated with Gene Ontology.","The full-length cDNA libraries were constructed from randomly picked 170,000 clones derived from twenty types of stressed tissues of japonica rice. The clones were grouped into 28,000 independent classes according to their 3' terminal single-pass sequences. All of the representative clones were completely sequenced.","""The Rice Full-Length cDNA"",,5
","The information about full-length cDNA clones were collected and completely sequenced by the joint collaboration of National Institute of Agrobiological Sciences (NIAS), Foundation of Advancement of International Science (FAIS), and RIKEN institute, under the supervision of BRAIN (Bio-oriented Technology Research Advancement Institution). This work has been undertaken through the project named ""The Rice Full-Length cDNA"".","""Collection, mapping, and annotation of over 28,000 cDNA clones from japonica rice"",""Rice Full-Length cDNA Consortium; National Institute of Agrobiological Sciences Rice Full-Length cDNA Project Team, Kikuchi S*, Satoh K, Nagata T, Kawagashira N, Doi K, Kishimoto N, Yazaki J, Ishikawa M, Yamada H, Ooka H, Hotta I, Kojima K, Namiki T, Ohneda E, Yahagi W, Suzuki K, Li CJ, Ohtsuki K, Shishiki T;
Foundation of Advancement of International Science Genome Sequencing & Analysis Group, Otomo Y, Murakami K, Iida Y, Sugano S, Fujimura T, Suzuki Y, Tsunoda Y, Kurosaki T, Kodama T, Masuda H, Kobayashi M, Xie Q, Lu M, Narikawa R, Sugiyama A, Mizuno K, Yokomizo S, Niikura J, Ikeda R, Ishibiki J, Kawamata M, Yoshimura A, Miura J, Kusumegi T, Oka M, Ryu R, Ueda M, Matsubara K;
RIKEN, Kawai J, Carninci P, Adachi J, Aizawa K, Arakawa T, Fukuda S, Hara A, Hashizume W, Hayatsu N, Imotani K, Ishii Y, Itoh M, Kagawa I, Kondo S, Konno H, Miyazaki A, Osato N, Ota Y, Saito R, Sasaki D, Sato K, Shibata K, Shinagawa A, Shiraki T, Yoshino M, Hayashizaki Y, Yasunishi A."",""Science 2003 July 18; Vol.301 no.5631: pp.376-379"",12869764,200902243136795840
""Gene organization in rice revealed by full-length cDNA mapping and gene expression analysis through microarray"",""Satoh K, Doi K, Nagata T, Kishimoto N, Suzuki K, Otomo Y, Kawai J, Nakamura M, Hirozane-Kishikawa T, Kanagawa S, Arakawa T, Takahashi-Iida J, Murata M, Ninomiya N, Sasaki D, Fukuda S, Tagami M, Yamagata H, Kurita K, Kamiya K, Yamamoto M, Kikuta A, Bito T, Fujitsuka N, Ito K, Kanamori H, Choi IR, Nagamura Y, Matsumoto T, Murakami K, Matsubara K, Carninci P, Hayashizaki Y, Kikuchi S."",""PLoS One. 2007 Nov 28; 2(11):e1235."",18043742,201302253450484016
","National Institute of Agrobiological Sciences","http://cdna01.dna.affrc.go.jp/cDNA/
",2003-07-18,2010-03-31,http://agrid.dna.affrc.go.jp/cgi-bin/sogo.cgi?class=719&lang=en,,"DDBJ
NCBI-GenBank
TIGR
BGI RIS
Rice Microarray Opening Site (RMOS)
Rice mutant panel database (Tos17)
A Database of Plant Cis-acting Regulatory DNA Elements (PLACE)
PIR
SWISS-PROT
UniProt
InterPro
Blocks
Rice Proteome Database",1,1,,,
"Leading Author's",,"NBDC01195
",,"""Keisuke Iida"",""Database Center for Life Science"",,,,,1
",,"Literature
",,,"Open access and online review articles written by Japanese authors who lead several biological research areas.",,,"MEXT Integrated Database Project
Life Science Database Integration Project ""Development of fundamental technologies related to integration of databases""","バイオインフォマティクスを使い尽くす秘訣教えます！【第3回】「DBCLSが提供する日本語コンテンツ」,飯田啓介、小野浩雅,""生物工学会誌 第95巻 第1号(2017/1/25)"",0,
新しい日本語Webコンテンツ，「新着論文レビュー」と「領域融合レビュー」,飯田啓介,""情報管理, 56, 148-155 (2013)"",0,
","Database Center for Life Science","http://leading.lifesciencedb.jp/
",2012-09-01,,http://dbcls.rois.ac.jp/,,,1,1,,,
"MeCab user dictionary for science technology term",,"NBDC02358
",10.18908/lsdba.nbdc02358-000.V002,"""Yuka Tateisi"",""National Bioscience Database Center"",200901004043498359,read0125210,,201550000083251746,0
",,"dictionary
",,,"We have made a user dictionary of morphological analysis engine MeCab (http://taku910.github.io/mecab/) headwords and synonyms of JST Thesaurus (2015 edition) . The dictionary items are based on IPA dictionary and encoded in UTF-8. Entries with zenkaku alphabets, numerals and symbols converted into corresponding hankaku characters are also included.
Please note that this dictionary can not be used as a thesaurus because information on relations between words is not included in the dictionary.",,"""Life Science Database Integration Project"",201304069785935332,
",,"JST科学技術用語シソーラスに基づくMeCab用専門用語辞書,""建石由佳, 信定知江, 高木利久"",""言語処理学会第23回年次大会、P7-1 (予稿集 pp485-488）、2017年3月"",,201702253099150088
","National Bioscience Database Center",,2018-06-04,2019-05-17,,,"IPA dictionary, JST Thesaurus (2015 edition)",1,1,,,
